"Date","MET_radswd","MET_radlwd","MET_cldcvr","MET_tmpair","MET_airmax","MET_airmin","MET_dewmax","MET_dewmin","MET_humrel","MET_tmpdew","MET_prvapr","MET_prsttn","MET_prmslp","MET_wndspd","MET_wnddir","MET_wnduvu","MET_wnduvv","MET_ppsnow","MET_pprain"
1980-01-03,360.732,234.689,0.366,16.818,0,0,0,0,70.312,11.382,13.472,100767,101042.745,7.425,352.634,-0.952,7.364,0,0.0788639
1980-01-04,327.93,258.963,0.509,17.244,0,0,0,0,69.557,11.627,13.692,101017,101293.023,3.856,333.987,-1.691,3.465,0,0.045658
1980-01-05,341.505,250.192,0.45,17.605,0,0,0,0,69.427,11.943,13.981,101060,101335.798,2.667,323.723,-1.578,2.15,0,0.251119
1980-01-06,250.161,314.485,0.743,17.609,0,0,0,0,76.226,13.374,15.355,100949,101224.49,2.857,17.306,0.85,2.728,0,0.0581102
1980-01-07,336.391,254.299,0.455,18.132,0,0,0,0,75.629,13.759,15.745,101066,101341.314,1.031,318.5,-0.683,0.772,0,0.442053
1980-01-08,276.342,300.225,0.668,18.815,0,0,0,0,70.389,13.312,15.294,101263,101538.205,4.847,235.149,-3.978,-2.77,0,0.444128
1980-01-09,333.217,260.414,0.462,19.471,0,0,0,0,71.264,14.132,16.131,101306,101580.704,5.024,232.879,-4.006,-3.032,0,0.00207537
1980-01-10,344.808,250.606,0.385,19.596,0,0,0,0,81.483,16.34,18.587,101021,101294.814,0.514,171.838,0.073,-0.509,0,0.0103768
1980-01-11,210.374,351.865,0.823,20.399,0,0,0,0,88.886,18.504,21.309,100504,100775.667,3.919,143.844,2.312,-3.164,0,6.75116
1980-01-12,296.189,284.989,0.576,19.608,0,0,0,0,87.569,17.487,19.99,100644,100916.781,4.338,48.645,3.256,2.866,0,1.9965
1980-01-13,272.189,302.389,0.659,19.432,0,0,0,0,83.077,16.484,18.759,100736,101009.195,4.309,73.428,4.13,1.229,0,0.141125
1980-01-14,112.243,411.701,1,20.534,0,0,0,0,93.44,19.438,22.588,100198,100468.715,5.174,126.394,4.165,-3.07,0,4.11753
1980-01-15,144.536,398.608,0.971,20.037,0,0,0,0,89.078,18.182,20.883,98838.9,99106.396,10.304,142.246,6.309,-8.147,0,20.7454
1980-01-16,298.823,269.472,0.595,15.543,0,0,0,0,74.493,11.027,13.158,98613.3,98884.345,11.912,88.985,11.91,0.211,0,16.6361
1980-01-17,291.813,274.167,0.623,15.459,0,0,0,0,66.871,9.33,11.748,99708.1,99982.234,11.504,56.991,9.647,6.267,0,9.63385
1980-01-18,241.223,321.072,0.755,18.419,0,0,0,0,69.541,12.747,14.74,100507,100780.522,7.576,121.665,6.448,-3.977,0,1.5586
1980-01-19,135.245,402.368,0.992,19.387,0,0,0,0,81.686,16.175,18.393,100466,100738.504,9.047,141.976,5.573,-7.127,0,6.26968
1980-01-20,81.475,395.007,1,17.51,0,0,0,0,88.75,15.633,17.766,100662,100936.801,1.395,288.435,-1.323,0.441,0,29.7732
1980-01-21,95.006,404.161,1,19.18,0,0,0,0,93.509,18.107,20.785,100118,100389.753,6.882,149.13,3.531,-5.907,0,43.2963
1980-01-22,247.806,311.322,0.731,17.683,0,0,0,0,72.211,12.617,14.614,100128,100401.18,7.955,109.963,7.477,-2.716,0,14.6043
1980-01-23,263.512,301.443,0.677,18.428,0,0,0,0,77.05,14.332,16.341,100633,100906.856,4.79,157.928,1.8,-4.439,0,0.48356
1980-01-24,307.991,267.597,0.517,18.535,0,0,0,0,80.235,15.065,17.131,100830,101104.291,2.581,110.078,2.424,-0.886,0,2.28083
1980-01-25,356.312,232.114,0.266,18.86,0,0,0,0,74.313,14.191,16.192,101439,101714.641,1.703,238.448,-1.451,-0.891,0,0.00207537
1980-01-26,323.585,257.716,0.412,20.072,0,0,0,0,87.946,18.012,20.662,101510,101784.692,2.312,186.732,-0.271,-2.296,0,0.0477334
1980-01-27,282.491,290.779,0.579,20.73,0,0,0,0,87.926,18.656,21.513,101695,101969.576,1.074,279.217,-1.06,0.172,0,0.525068
1980-01-28,303.943,272.877,0.499,20.38,0,0,0,0,83.723,17.533,20.048,101772,102047.112,3.175,234.448,-2.583,-1.846,0,0.0933915
1980-01-29,329.009,252.772,0.371,20.483,0,0,0,0,83.591,17.609,20.144,101823,102098.153,2.655,247.076,-2.445,-1.034,0,0.0249044
1980-01-30,339.391,241.502,0.303,19.709,0,0,0,0,85.585,17.224,19.66,101884,102160.047,1.681,336.546,-0.669,1.542,0,0.0166029
1980-01-31,337.326,242.36,0.316,19.655,0,0,0,0,83.274,16.739,19.066,101809,102084.894,4.129,5.266,0.379,4.112,0,0.00298933
1980-02-01,338.889,238.254,0.319,18.722,0,0,0,0,79.432,15.09,17.159,101545,101821.059,3.308,19.476,1.103,3.119,0,0.00597866
1980-02-02,314.554,257.051,0.449,18.969,0,0,0,0,77.45,14.937,16.991,101091,101365.592,1.904,39.097,1.201,1.478,0,0.0388613
1980-02-03,314.454,261.114,0.433,20.594,0,0,0,0,75.401,16.091,18.295,100684,100955.972,1.059,129.792,0.814,-0.678,0,0.17936
1980-02-04,294.267,276.444,0.507,20.934,0,0,0,0,81.242,17.597,20.129,100557,100828.315,1.471,67.497,1.359,0.563,0,0.158435
1980-02-05,326.373,247.276,0.339,20.169,0,0,0,0,82.878,17.167,19.589,100487,100758.834,4.354,18.185,1.359,4.137,0,0.0597866
1980-02-06,317.063,253.166,0.398,19.83,0,0,0,0,79.802,16.24,18.47,100185,100456.331,3.77,77.343,3.678,0.826,0,0.801141
1980-02-07,161.575,379.908,0.91,20.545,0,0,0,0,81.622,17.292,19.744,100557,100828.675,2.431,234.224,-1.972,-1.421,0,1.55146
1980-02-08,261.876,300.276,0.616,21.251,0,0,0,0,78.987,17.46,19.955,100698,100969.403,7.056,219.912,-4.527,-5.412,0,0.203275
1980-02-09,189.199,354.479,0.836,20.204,0,0,0,0,83.136,17.25,19.692,100621,100893.164,2.358,105.398,2.273,-0.626,0,2.05666
1980-02-10,231.174,310.394,0.74,17.205,0,0,0,0,60.664,9.536,11.912,101088,101364.254,7.982,27.316,3.663,7.092,0,1.61723
1980-02-11,217.465,321.453,0.773,17.542,0,0,0,0,63.808,10.609,12.799,101550,101827.195,7.077,282.22,-6.917,1.498,0,0.275019
1980-02-12,99.591,401.082,1,18.622,0,0,0,0,74.107,13.918,15.908,101526,101802.103,11.827,272.486,-11.816,0.513,0,24.5275
1980-02-13,63.76,407.934,1,19.86,0,0,0,0,87.972,17.808,20.398,100997,101270.502,12.895,250.487,-12.154,-4.307,0,47.4646
1980-02-14,80.887,404.492,1,19.24,0,0,0,0,85.05,16.665,18.975,101087,101361.327,11.74,256.513,-11.416,-2.738,0,18.5966
1980-02-15,117.409,402.996,1,18.969,0,0,0,0,76.997,14.846,16.891,101168,101442.802,11.089,262.184,-10.986,-1.508,0,11.1622
1980-02-16,195.616,342.415,0.801,19.885,0,0,0,0,81.654,16.655,18.964,100887,101160.181,9.05,266.065,-9.029,-0.621,0,3.2225
1980-02-17,74.392,404.23,1,19.192,0,0,0,0,88.363,17.221,19.657,100551,100823.917,6.629,276.653,-6.584,0.768,0,9.0517
1980-02-18,299.424,247.896,0.374,19.243,0,0,0,0,83.319,16.344,18.593,100503,100775.74,3.235,338.018,-1.211,3,0,0.875874
1980-02-19,266.966,271.791,0.537,18.471,0,0,0,0,84.273,15.768,17.921,100489,100762.424,4.601,43.873,3.189,3.317,0,0.514165
1980-02-20,227.606,305.931,0.685,18.891,0,0,0,0,80.521,15.466,17.578,100177,100449.183,8.216,63.033,7.323,3.726,0,2.88471
1980-02-21,179.554,347.02,0.827,19.227,0,0,0,0,84.884,16.621,18.923,100094,100365.644,5.567,98.887,5.5,-0.86,0,3.18065
1980-02-22,195.215,330.77,0.784,18.591,0,0,0,0,78.393,14.758,16.796,99968.4,100240.296,6.378,79.913,6.279,1.117,0,9.35063
1980-02-23,236.542,289.235,0.666,16.792,0,0,0,0,59.62,8.889,11.405,100782,101057.811,7.558,22.235,2.86,6.996,0,0.071744
1980-02-24,269.558,260.703,0.512,17.371,0,0,0,0,73.558,12.599,14.597,100800,101075.309,3.525,157.094,1.372,-3.247,0,6.78279
1980-02-25,247.007,279.59,0.604,17.549,0,0,0,0,70.711,12.169,14.19,100285,100558.735,9.252,79.053,9.084,1.757,0,8.75575
1980-02-26,207.809,311.876,0.739,17.407,0,0,0,0,69.948,11.868,13.912,100436,100710.281,10.397,54.995,8.516,5.964,0,1.50961
1980-02-27,244.994,277.994,0.601,17.331,0,0,0,0,69.556,11.709,13.767,100845,101120.471,6.587,43.438,4.529,4.783,0,0.556016
1980-02-28,144.587,362.115,0.914,16.878,0,0,0,0,76.389,12.698,14.692,100518,100793.007,1.457,50.29,1.121,0.931,0,3.74862
1980-02-29,217.255,303.232,0.677,18.686,0,0,0,0,82.728,15.688,17.83,99397.1,99667.354,7.264,179.968,0.004,-7.264,0,16.9684
1980-03-01,264.729,257.078,0.474,17.929,0,0,0,0,78.662,14.168,16.168,99583.5,99854.965,12.962,74.43,12.486,3.479,0,4.38364
1980-03-02,230.211,286.483,0.624,17.863,0,0,0,0,77.912,13.956,15.947,100450,100723.89,10.343,41.158,6.807,7.787,0,0.951755999999999
1980-03-03,259.876,259.592,0.479,18.358,0,0,0,0,77.308,14.316,16.324,100812,101086.409,3.142,329.599,-1.59,2.71,0,0.0868390999999991
1980-03-04,182.424,329.195,0.78,18.432,0,0,0,0,80.955,15.103,17.174,101051,101325.99,6.876,271.834,-6.872,0.22,0,1.89657
1980-03-05,259.894,255.948,0.469,18.119,0,0,0,0,72.23,13.04,15.025,101427,101703.31,5.701,301.259,-4.873,2.958,0,0.486298999999999
1980-03-06,229.461,280.43,0.607,17.502,0,0,0,0,72.497,12.503,14.505,101316,101592.594,6.585,312.194,-4.879,4.423,0,5.08877
1980-03-07,145.455,356.015,0.886,17.443,0,0,0,0,80.728,14.095,16.091,101093,101369.042,7.19,289.355,-6.784,2.383,0,17.2289
1980-03-08,328.183,295.304,0.666,17.639,0,0,0,0,79.564,14.062,16.057,101025,101300.67,2.703,283.892,-2.624,0.649,0,1.13586
1980-03-09,253.734,252.549,0.445,17.856,0,0,0,0,82.654,14.864,16.911,100836,101110.948,0.675,86.09,0.673,0.046,0,0.538401999999999
1980-03-10,194.224,309.285,0.704,18.455,0,0,0,0,87.359,16.315,18.558,100533,100806.559,2.832,158.544,1.036,-2.636,0,1.35469
1980-03-11,157.928,340.31,0.831,17.652,0,0,0,0,83.478,14.818,16.861,100045,100317.983,4.292,115.932,3.86,-1.877,0,5.84948
1980-03-12,226.469,271.697,0.58,16.97,0,0,0,0,68.807,11.201,13.311,100613,100888.179,6.487,31.774,3.416,5.515,0,6.14647
1980-03-13,130.869,360.265,0.913,16.587,0,0,0,0,76.025,12.344,14.354,100918,101194.379,6.965,254.988,-6.727,-1.804,0,0.614820999999999
1980-03-14,176.583,313.338,0.757,16.421,0,0,0,0,84.116,13.731,15.715,99213.6,99485.467,6.819,334.412,-2.945,6.15,0,76.1839
1980-03-15,209.466,285.865,0.617,18.072,0,0,0,0,77.725,14.122,16.12,99607.2,99878.596,10.155,80.998,10.03,1.589,0,46.2835
1980-03-16,174.168,310.682,0.769,15.471,0,0,0,0,64.74,8.861,11.382,99878.9,100153.492,11.448,56.689,9.567,6.287,0,2.44365
1980-03-17,202.492,279.046,0.66,14.782,0,0,0,0,59.998,7.091,10.091,100563,100840.135,8.383,34.541,4.753,6.905,0,1.38422
1980-03-18,187.284,299.461,0.699,16.932,0,0,0,0,72.645,11.985,14.02,101109,101385.572,5.199,71.729,4.937,1.63,0,1.13933
1980-03-19,188.45,298.287,0.673,17.767,0,0,0,0,84.955,15.203,17.284,100969,101244.396,6.527,90.255,6.527,-0.029,0,0.991701999999999
1980-03-20,226.645,252.006,0.509,15.698,0,0,0,0,66.826,9.548,11.921,101068,101345.643,8.862,32.264,4.731,7.494,0,0.644345999999999
1980-03-21,197.567,277.839,0.648,15.108,0,0,0,0,62.408,7.976,10.72,101107,101385.319,5.385,20.468,1.883,5.045,0,0.0329988999999991
1980-03-22,79.845,390.707,1,16.716,0,0,0,0,80.164,13.28,15.26,100699,100974.656,2.998,74.146,2.884,0.819,0,5.82169
1980-03-23,160.152,316.218,0.769,16.369,0,0,0,0,82.062,13.3,15.281,100381,100656.115,3.994,9.017,0.626,3.945,0,7.60189
1980-03-24,149.424,325.24,0.81,15.986,0,0,0,0,73.243,11.199,13.309,100293,100568.239,5.234,32.111,2.782,4.433,0,0.283094999999999
1980-03-25,215.171,252.855,0.506,15.754,0,0,0,0,73.279,10.983,13.12,100322,100597.539,8.115,32.74,4.389,6.826,0,1.21054
1980-03-26,174.627,295.045,0.703,15.851,0,0,0,0,66.282,9.573,11.941,100756,101032.638,6.96,25.206,2.964,6.297,0,0.378617999999999
1980-03-27,153.483,316.365,0.772,16.24,0,0,0,0,81.534,13.076,15.058,100945,101221.784,1.382,93.9,1.379,-0.094,0,1.62563
1980-03-28,161.888,309.004,0.722,17.381,0,0,0,0,88.141,15.398,17.501,100752,101027.169,5.534,122.777,4.653,-2.996,0,5.38923
1980-03-29,193.512,274.529,0.552,18.346,0,0,0,0,87.203,16.18,18.399,101034,101309.025,4.68,138.239,3.117,-3.491,0,0.446352999999999
1980-03-30,160.692,309.784,0.715,18.042,0,0,0,0,82.759,15.065,17.131,100313,100586.348,6.759,151.588,3.216,-5.945,0,10.4745
1980-03-31,166.143,295.105,0.705,15.792,0,0,0,0,65.158,9.261,11.694,100113,100387.93,10.351,80.956,10.222,1.627,0,12.5542
1980-04-01,115.9,348.523,0.892,15.623,0,0,0,0,79.538,12.096,14.121,99664.6,99938.458,9.875,116.648,8.826,-4.429,0,11.1882
1980-04-02,175.253,276.422,0.647,14.642,0,0,0,0,69.601,9.144,11.601,99978.3,100253.958,10.939,67.432,10.101,4.198,0,12.0742
1980-04-03,172.671,278.884,0.652,15.024,0,0,0,0,66.803,8.901,11.413,100850,101127.692,4.554,55.078,3.734,2.607,0,2.62604
1980-04-04,166.512,283.443,0.667,15.041,0,0,0,0,75.325,10.709,12.883,100941,101218.926,4.664,211.229,-2.418,-3.988,0,0.284004
1980-04-05,74.436,388.863,1,16.374,0,0,0,0,79.994,12.913,14.9,100515,100790.478,7.509,217.708,-4.593,-5.941,0,5.56208
1980-04-06,183.334,263.058,0.532,16.581,0,0,0,0,87.73,14.537,16.557,100514,100789.279,2.578,144.343,1.503,-2.095,0,4.01206
1980-04-07,152.744,293.913,0.698,15.415,0,0,0,0,89.426,13.684,15.666,100393,100669.059,1.911,197.544,-0.576,-1.822,0,0.72201
