"Date","depth_mid","var_aeme","depth_from","depth_to","value","lake"
1988-05-25,0,"CHM_oxy",0,0,9.3,NA
1988-05-25,0,"HYD_temp",0,0,14.5,NA
1988-05-25,0,"NIT_amm",0,0,0.023,NA
1988-05-25,0,"NIT_nnn",0,0,0.027,NA
1988-05-25,0,"PHS_frp",0,0,0.009,NA
1988-05-25,0,"PHS_tp",0,0,0.028,NA
1988-05-25,0,"PHY_tchla",0,0,18.4,NA
1988-05-25,0,"ext_NCS_tur",0,0,1.8,NA
1988-05-25,5,"CHM_oxy",5,5,9.2,NA
1988-05-25,5,"NIT_amm",5,5,0.016,NA
1988-05-25,5,"NIT_nnn",5,5,0.023,NA
1988-05-25,5,"PHS_frp",5,5,0.008,NA
1988-05-25,5,"PHS_tp",5,5,0.023,NA
1988-05-25,5,"PHY_tchla",5,5,5.2,NA
1988-09-30,0,"CHM_oxy",0,0,9.3,NA
1988-09-30,0,"HYD_temp",0,0,15.3,NA
1988-09-30,0,"NIT_amm",0,0,0.026,NA
1988-09-30,0,"NIT_nnn",0,0,0.033,NA
1988-09-30,0,"PHS_frp",0,0,0.008,NA
1988-09-30,0,"PHS_tp",0,0,0.03,NA
1988-09-30,0,"PHY_tchla",0,0,2.6,NA
1988-09-30,0,"ext_NCS_tur",0,0,2.7,NA
1988-09-30,5,"CHM_oxy",5,5,8.9,NA
1988-09-30,5,"HYD_temp",5,5,14,NA
1988-09-30,5,"NIT_amm",5,5,0.015,NA
1988-09-30,5,"NIT_nnn",5,5,0.048,NA
1988-09-30,5,"PHS_frp",5,5,0.007,NA
1988-09-30,5,"PHS_tp",5,5,0.031,NA
1988-09-30,5,"PHY_tchla",5,5,1.9,NA
1988-09-30,5,"ext_NCS_tur",5,5,4.7,NA
1988-11-24,0,"CHM_oxy",0,0,9.2,NA
1988-11-24,0,"HYD_temp",0,0,20.3,NA
1988-11-24,0,"NIT_amm",0,0,0.002,NA
1988-11-24,0,"NIT_nnn",0,0,0.027,NA
1988-11-24,0,"PHS_frp",0,0,0.013,NA
